epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,3127.08,0.87107,0.62723,1.08804,0.89442,0.82044,0.9005,0.65042,0.99521,0.73363,1.19946,0.0004556,0.0004556,0.0004556
119,3152.51,0.85706,0.61761,1.08232,0.90918,0.82,0.89512,0.64167,1.0068,0.73288,1.22026,0.0004424,0.0004424,0.0004424
120,3180.83,0.87227,0.62897,1.10423,0.93212,0.80316,0.89525,0.64063,0.9987,0.75248,1.22687,0.0004292,0.0004292,0.0004292
121,3205.88,0.84619,0.61013,1.07194,0.91759,0.80872,0.89286,0.63894,1.00819,0.77751,1.21268,0.000416,0.000416,0.000416
122,3233.71,0.85089,0.61282,1.08073,0.88237,0.80211,0.89175,0.6386,1.00797,0.77625,1.22764,0.0004028,0.0004028,0.0004028
123,3258.24,0.84453,0.60946,1.0688,0.8978,0.82,0.89645,0.64263,1.02575,0.75104,1.22928,0.0003896,0.0003896,0.0003896
124,3285.76,0.83319,0.60931,1.06012,0.91333,0.81158,0.90066,0.653,0.99703,0.72602,1.18579,0.0003764,0.0003764,0.0003764
125,3311.66,0.83938,0.61209,1.07494,0.91963,0.80421,0.89474,0.64731,1.00402,0.78377,1.19469,0.0003632,0.0003632,0.0003632
126,3338.47,0.84666,0.60277,1.06397,0.9109,0.81791,0.90308,0.65618,0.98546,0.72595,1.1813,0.00035,0.00035,0.00035
127,3364.92,0.82912,0.59848,1.07304,0.90761,0.81789,0.89617,0.65261,0.98129,0.7653,1.19184,0.0003368,0.0003368,0.0003368
128,3390.42,0.80564,0.57201,1.06119,0.93792,0.79512,0.90115,0.66079,0.96803,0.7529,1.18545,0.0003236,0.0003236,0.0003236
129,3417.85,0.82717,0.59744,1.06241,0.90907,0.81033,0.89336,0.64689,0.98853,0.77215,1.19996,0.0003104,0.0003104,0.0003104
130,3443.1,0.82892,0.58829,1.07571,0.90675,0.78947,0.88143,0.63637,0.99813,0.7908,1.20713,0.0002972,0.0002972,0.0002972
131,3471.53,0.83156,0.59039,1.07223,0.88167,0.82632,0.89329,0.65171,0.96755,0.77155,1.16644,0.000284,0.000284,0.000284
132,3496.95,0.81355,0.57473,1.04823,0.91287,0.79263,0.88455,0.63528,1.01295,0.80553,1.22584,0.0002708,0.0002708,0.0002708
133,3525.36,0.82786,0.57781,1.06809,0.88539,0.82947,0.89697,0.65206,0.98167,0.75131,1.19318,0.0002576,0.0002576,0.0002576
134,3550.17,0.81905,0.58552,1.06482,0.89796,0.80594,0.88964,0.64678,0.98895,0.77426,1.2036,0.0002444,0.0002444,0.0002444
135,3578.77,0.80562,0.55884,1.04843,0.91611,0.80526,0.89476,0.65426,0.98775,0.7653,1.19335,0.0002312,0.0002312,0.0002312
136,3603.97,0.81452,0.57269,1.06057,0.89163,0.80211,0.89173,0.64361,0.99261,0.74974,1.19933,0.000218,0.000218,0.000218
137,3631.46,0.8236,0.57285,1.06062,0.88998,0.82595,0.90243,0.65473,0.98614,0.73336,1.19974,0.0002048,0.0002048,0.0002048
138,3657.29,0.79143,0.56054,1.04711,0.86725,0.84526,0.90032,0.65105,0.99482,0.75094,1.2085,0.0001916,0.0001916,0.0001916
139,3683.88,0.78983,0.56288,1.03925,0.91046,0.80421,0.90132,0.64897,0.98768,0.7387,1.21361,0.0001784,0.0001784,0.0001784
140,3710.05,0.77654,0.55211,1.04187,0.9035,0.80421,0.89761,0.65858,0.97502,0.72499,1.19028,0.0001652,0.0001652,0.0001652
141,3737.89,0.71817,0.45954,0.99811,0.8833,0.82211,0.90015,0.64959,0.98762,0.71415,1.2033,0.000152,0.000152,0.000152
142,3764.76,0.71115,0.43975,0.98932,0.89777,0.82105,0.9006,0.64429,1.00142,0.71171,1.24167,0.0001388,0.0001388,0.0001388
143,3788.98,0.70046,0.42936,0.98945,0.90271,0.81068,0.89626,0.64316,0.99884,0.74155,1.23417,0.0001256,0.0001256,0.0001256
144,3816.43,0.69805,0.4284,0.98306,0.88937,0.8124,0.89407,0.64147,0.99526,0.75628,1.23904,0.0001124,0.0001124,0.0001124
145,3840.99,0.7012,0.43857,0.98591,0.88243,0.82958,0.89644,0.64704,0.99601,0.73982,1.23522,9.92e-05,9.92e-05,9.92e-05
146,3866.3,0.67995,0.41776,0.96656,0.88445,0.82842,0.89757,0.65116,0.98587,0.73011,1.22009,8.6e-05,8.6e-05,8.6e-05
147,3892.89,0.71471,0.42866,1.0014,0.88967,0.82526,0.8984,0.65319,0.97945,0.71656,1.21277,7.28e-05,7.28e-05,7.28e-05
148,3917.42,0.68304,0.41588,0.96906,0.88806,0.83509,0.90236,0.6531,0.98053,0.71255,1.2155,5.96e-05,5.96e-05,5.96e-05
149,3943.86,0.68607,0.42136,0.97728,0.8775,0.83701,0.9008,0.64857,0.99615,0.71804,1.23388,4.64e-05,4.64e-05,4.64e-05
150,3969.74,0.67327,0.41358,0.98252,0.89379,0.82632,0.89872,0.65289,0.98637,0.71443,1.22546,3.32e-05,3.32e-05,3.32e-05
